id,distance,latitude,longitude,rating,review_count,price
bwCj2AcoOroZfCTxb6rCcg,14381.704777085624,36.689639,-83.108766,3.5,6,$$
S9S9kFJSkmfpbjFForCWLQ,18475.8518341785,36.7263373464484,-83.0998583883047,4.0,2,$
np8uV1xll22Yr-Q-B-ImkA,24285.73533365945,36.7584361,-83.0270568,4.0,3,$
LxRWDLPHbN35BjICDm243A,12282.934557670884,36.6441312817349,-82.5679820403457,5.0,4,$
EepsrfoWQhupmOsDjHgM1Q,10454.44367367071,36.616143,-82.567972,5.0,10,$
-921IbWdp3OwxwBx0CT2Ug,7437.958279539712,36.6349,-82.64966,4.0,11,$
P6tALPZ7dXeqBOHpZ2F3sw,11573.905482675427,36.638971,-82.572892,5.0,2,$
oniPRl91rsqOcfrBD5jz8Q,11162.528854489068,36.6392784,-82.5794296,3.5,7,$
t_CYnFvjaYu_VhcIKSEGAQ,11000.624128045252,36.63779,-82.58024,3.0,5,$$
_6JFahU9elgdShYs3k90gA,3075.229175572713,36.595538,-82.183219,4.5,98,$
iTGV5EVgaANtVKR4zv2OsA,3129.789385897886,36.595389192281,-82.185131554186,4.5,69,$
IkGRyqfslExT1j38A9v7fQ,4092.323604451543,36.5957999,-82.20268,4.5,29,$$
eMFWJdJf_CR3xryXJBacMQ,4587.320298759162,36.596891283989,-82.2080721706152,4.5,31,$$
ZsAA2smNeRXQVR6fNcLAZA,3127.2307563083486,36.59477,-82.18625,4.0,13,$$
d3nDJcc0L5v2ZP6e_GgFwQ,4314.9519618621,36.5957396,-82.2061647,4.5,29,$
h27gONRhY05ODkiKvlxrkg,3150.658764992598,36.5951803157935,-82.1861797595323,4.0,18,$
A-siHJRjCWWQ0p1KnKpadA,7886.944429559813,36.6289591300552,-82.1208853309207,3.5,38,$$
4iWMUEzSjb1_-Cjk_m8hyw,7446.303830090637,36.6293498093268,-82.1313643665717,4.0,42,$$
eyHuhkGdW9EkQBYG7-rBJg,8911.771725154575,36.637363295662,-82.115909966766,4.0,48,$$
Ch6IYYWfp71VatYKggM2gA,3104.878374160463,36.5953092845422,-82.18468896579,3.0,41,$$
wNpvomx58N6VK8Pd00OfKg,3312.862482138329,36.5995169,-82.1751568,5.0,4,$
7Wzj8_5DYjl23X_KpsKyfw,3981.4385616483805,36.6002190838308,-82.1939187776825,3.5,27,$$
y0bAkrGh30ZbyZq0bzKXMw,6896.455698676811,36.6290791288284,-82.1464877672787,4.0,9,$
g7KBFABMYvRztJ6qCNkFmw,12218.518816016727,36.6309013366699,-81.7838592529297,4.5,48,$$
ktzgIAd_TIpvvpRhVTeF6g,12997.214444857456,36.6363399,-81.78997,4.0,33,$$
Igxt8woTHHQHXe4QJsQ5Zg,7351.594989042999,36.62392,-81.7176999,3.0,16,$
bZL8FuX5PP7QomNq1Qrr2g,27241.35188125819,36.7610626220703,-81.8611679077148,4.5,91,$$
